                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0287,                0.59708,                 1.0977,                0.84102,                0.67793,                0.76209,                0.52502,                 1.1141,                0.62386,                 1.1109,              0.0006634,              0.0006634,              0.0006634
                     36,                 1.0304,                0.59251,                 1.0947,                0.84638,                0.68011,                0.75816,                0.52418,                  1.106,                0.62834,                 1.1064,              0.0006535,              0.0006535,              0.0006535
                     37,                 1.0268,                0.59423,                 1.0942,                0.83415,                0.67743,                0.75716,                0.52605,                 1.1038,                0.61865,                 1.1072,              0.0006436,              0.0006436,              0.0006436
                     38,                 1.0208,                0.58611,                 1.0899,                0.84853,                0.67473,                0.75778,                0.52528,                  1.094,                0.61741,                 1.0961,              0.0006337,              0.0006337,              0.0006337
                     39,                 1.0146,                0.58587,                  1.091,                 0.8457,                0.67901,                0.75959,                0.52427,                 1.1005,                 0.6146,                 1.1084,              0.0006238,              0.0006238,              0.0006238
                     40,                  1.039,                0.59503,                 1.0924,                0.84745,                0.68086,                0.76508,                0.53316,                 1.0926,                0.61605,                 1.1007,              0.0006139,              0.0006139,              0.0006139
                     41,                 1.0156,                0.58442,                 1.0863,                0.84741,                0.67909,                0.76442,                0.53243,                 1.0952,                0.61489,                 1.0951,               0.000604,               0.000604,               0.000604
                     42,                 1.0151,                0.58149,                 1.0855,                 0.8463,                0.68254,                0.76376,                0.53368,                 1.0875,                0.61167,                 1.1001,              0.0005941,              0.0005941,              0.0005941
                     43,                0.99654,                0.57257,                 1.0811,                0.84317,                0.68146,                0.76494,                0.53342,                 1.0853,                0.61221,                 1.0953,              0.0005842,              0.0005842,              0.0005842
                     44,                 1.0017,                0.57089,                 1.0735,                0.85029,                0.68513,                0.76702,                0.53497,                 1.0902,                0.60798,                 1.0942,              0.0005743,              0.0005743,              0.0005743
                     45,                 1.0136,                0.57778,                 1.0785,                0.85973,                0.67827,                0.76561,                0.53025,                  1.092,                0.60694,                 1.0944,              0.0005644,              0.0005644,              0.0005644
                     46,                0.99218,                0.56405,                 1.0757,                0.84885,                 0.6898,                0.76934,                0.53379,                 1.0923,                0.60078,                 1.0963,              0.0005545,              0.0005545,              0.0005545
                     47,                0.98957,                0.56362,                 1.0703,                0.84885,                0.68968,                0.76978,                0.53967,                 1.0784,                 0.6002,                 1.0873,              0.0005446,              0.0005446,              0.0005446
                     48,                 1.0056,                0.56942,                 1.0749,                0.85272,                0.68597,                0.76928,                0.53759,                 1.0789,                0.60152,                 1.0852,              0.0005347,              0.0005347,              0.0005347
                     49,                 1.0046,                0.56551,                 1.0759,                0.85662,                0.68839,                0.77208,                0.53863,                 1.0868,                0.59789,                 1.0913,              0.0005248,              0.0005248,              0.0005248
