                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.0486,                0.71179,                 1.2229,                0.82651,                0.68652,                0.77934,                0.53583,                 1.2142,                0.78381,                 1.2485,              0.0006832,              0.0006832,              0.0006832
                     34,                 1.0533,                0.71277,                 1.2219,                0.82144,                0.68557,                0.77639,                0.53415,                 1.2285,                0.78648,                 1.2551,              0.0006733,              0.0006733,              0.0006733
                     35,                 1.0631,                 0.7194,                 1.2272,                0.83617,                0.67887,                0.78237,                0.54312,                 1.2072,                0.78273,                 1.2438,              0.0006634,              0.0006634,              0.0006634
                     36,                  1.042,                0.72341,                 1.2195,                0.83186,                0.68943,                 0.7844,                0.54372,                  1.219,                0.77784,                 1.2467,              0.0006535,              0.0006535,              0.0006535
                     37,                 1.0483,                0.70946,                 1.2187,                0.84342,                 0.6827,                0.78533,                0.54695,                 1.2099,                0.77656,                 1.2484,              0.0006436,              0.0006436,              0.0006436
                     38,                 1.0413,                 0.7004,                 1.2165,                0.83957,                0.68504,                0.78748,                0.54668,                  1.215,                0.77326,                 1.2436,              0.0006337,              0.0006337,              0.0006337
                     39,                 1.0424,                0.70489,                 1.2179,                0.83254,                0.68891,                0.78618,                0.54726,                 1.1967,                0.77133,                 1.2466,              0.0006238,              0.0006238,              0.0006238
                     40,                 1.0279,                0.69585,                 1.2085,                0.82839,                0.69248,                0.78384,                0.54538,                 1.1848,                0.76958,                 1.2351,              0.0006139,              0.0006139,              0.0006139
                     41,                 1.0234,                0.69241,                 1.2038,                0.82925,                0.69758,                0.78883,                0.55194,                 1.1877,                0.75626,                 1.2278,               0.000604,               0.000604,               0.000604
                     42,                 1.0247,                0.68897,                 1.2061,                0.84435,                0.69311,                0.78987,                0.55162,                 1.1895,                 0.7606,                 1.2429,              0.0005941,              0.0005941,              0.0005941
                     43,                 1.0303,                0.68722,                 1.2067,                0.84178,                0.69906,                  0.795,                0.55658,                 1.1754,                0.75363,                 1.2317,              0.0005842,              0.0005842,              0.0005842
                     44,                 1.0264,                0.68332,                 1.2032,                0.83426,                0.69823,                0.79114,                0.55194,                 1.1841,                0.76116,                  1.236,              0.0005743,              0.0005743,              0.0005743
                     45,                 1.0216,                0.68346,                 1.1963,                0.83575,                0.69391,                 0.7914,                 0.5536,                  1.181,                0.75117,                 1.2313,              0.0005644,              0.0005644,              0.0005644
                     46,                 1.0249,                0.68187,                 1.1965,                0.83736,                0.69795,                0.79315,                0.55594,                 1.1781,                0.75009,                 1.2298,              0.0005545,              0.0005545,              0.0005545
                     47,                 1.0083,                0.67172,                 1.1908,                 0.8348,                0.69804,                0.79359,                 0.5551,                 1.1788,                0.75044,                  1.234,              0.0005446,              0.0005446,              0.0005446
                     48,                  1.015,                0.67014,                 1.1865,                0.83462,                0.70429,                0.79444,                0.55584,                 1.1715,                0.75086,                 1.2188,              0.0005347,              0.0005347,              0.0005347
                     49,                 1.0053,                0.66761,                 1.1869,                0.84107,                0.70522,                0.79677,                0.56084,                  1.162,                0.74536,                 1.2178,              0.0005248,              0.0005248,              0.0005248
                     50,                 1.0061,                0.66788,                   1.19,                0.84379,                0.70722,                0.79774,                0.56048,                 1.1643,                0.73984,                 1.2219,              0.0005149,              0.0005149,              0.0005149
                     51,                 1.0104,                0.67033,                 1.1882,                 0.8356,                0.70831,                0.79653,                0.56017,                 1.1604,                 0.7392,                 1.2203,               0.000505,               0.000505,               0.000505
                     52,                 1.0003,                0.66173,                 1.1837,                0.85412,                0.69804,                0.79744,                0.56403,                 1.1611,                0.73816,                 1.2157,              0.0004951,              0.0004951,              0.0004951
                     53,                0.99663,                0.66051,                 1.1806,                0.84375,                0.70558,                0.79798,                0.56532,                 1.1572,                0.73561,                 1.2146,              0.0004852,              0.0004852,              0.0004852
                     54,                 0.9839,                0.65096,                 1.1804,                0.84225,                0.70966,                0.79917,                0.56409,                  1.156,                0.73376,                 1.2175,              0.0004753,              0.0004753,              0.0004753
                     55,                0.98895,                0.65774,                 1.1796,                0.85116,                0.69966,                0.79783,                0.56291,                 1.1516,                0.73241,                 1.2164,              0.0004654,              0.0004654,              0.0004654
                     56,                 0.9857,                 0.6436,                 1.1761,                0.83992,                0.70867,                0.79845,                0.56424,                 1.1546,                0.73411,                 1.2155,              0.0004555,              0.0004555,              0.0004555
                     57,                0.98884,                0.65155,                 1.1743,                0.84281,                0.70896,                0.80033,                0.56614,                 1.1528,                0.73182,                 1.2097,              0.0004456,              0.0004456,              0.0004456
                     58,                0.98569,                0.65028,                  1.172,                0.83532,                0.71199,                0.80132,                0.56529,                 1.1511,                0.73162,                  1.207,              0.0004357,              0.0004357,              0.0004357
                     59,                 0.9861,                0.64883,                  1.177,                0.84856,                0.70599,                0.80117,                0.56665,                 1.1486,                0.72973,                 1.2092,              0.0004258,              0.0004258,              0.0004258
                     60,                 0.9827,                0.64489,                 1.1687,                 0.8512,                0.70471,                0.80073,                0.56629,                 1.1516,                0.72644,                 1.2101,              0.0004159,              0.0004159,              0.0004159
                     61,                0.97862,                0.63793,                 1.1666,                0.84781,                 0.7095,                0.80227,                0.56597,                 1.1488,                0.72487,                 1.2101,               0.000406,               0.000406,               0.000406
                     62,                0.97011,                0.63656,                 1.1675,                0.84403,                0.71397,                 0.8015,                0.56549,                 1.1483,                0.72419,                 1.2099,              0.0003961,              0.0003961,              0.0003961
                     63,                0.97442,                0.63895,                 1.1618,                 0.8383,                0.71398,                 0.8012,                0.56686,                 1.1468,                0.72623,                 1.2086,              0.0003862,              0.0003862,              0.0003862
