                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.9757,                0.57689,                 1.1044,                 0.8429,                0.66539,                0.74446,                0.50795,                 1.1847,                0.64802,                 1.2346,              0.0006634,              0.0006634,              0.0006634
                     36,                0.97644,                0.57413,                 1.1081,                0.85419,                0.66215,                0.74499,                0.50984,                 1.1642,                0.63361,                 1.2111,              0.0006535,              0.0006535,              0.0006535
                     37,                0.99292,                0.57606,                  1.103,                0.83083,                0.66742,                0.74618,                0.51511,                 1.1657,                0.63812,                 1.2252,              0.0006436,              0.0006436,              0.0006436
                     38,                0.98738,                0.57208,                 1.1051,                0.84925,                0.66659,                0.74597,                 0.5146,                 1.1694,                0.63232,                 1.2158,              0.0006337,              0.0006337,              0.0006337
                     39,                 0.9902,                0.57633,                 1.0998,                0.85299,                 0.6664,                0.74966,                0.51554,                 1.1669,                0.63467,                 1.2107,              0.0006238,              0.0006238,              0.0006238
                     40,                0.95845,                  0.565,                 1.1029,                0.83642,                 0.6713,                0.74576,                0.51782,                 1.1485,                0.63162,                 1.2077,              0.0006139,              0.0006139,              0.0006139
                     41,                0.95955,                0.56393,                 1.1077,                0.84853,                0.66778,                0.74902,                0.52029,                 1.1578,                0.62516,                  1.221,               0.000604,               0.000604,               0.000604
                     42,                0.97037,                0.56999,                  1.106,                0.84889,                0.66749,                0.74956,                0.52199,                 1.1403,                0.62002,                 1.2113,              0.0005941,              0.0005941,              0.0005941
                     43,                 0.9713,                0.56457,                  1.096,                 0.8466,                0.66911,                0.75015,                0.51865,                 1.1597,                0.62657,                 1.2257,              0.0005842,              0.0005842,              0.0005842
                     44,                0.94029,                0.54715,                 1.0918,                 0.8469,                0.67134,                0.75104,                0.52269,                 1.1482,                0.61447,                 1.2186,              0.0005743,              0.0005743,              0.0005743
                     45,                0.97029,                0.56553,                 1.0945,                0.83274,                0.68004,                0.75349,                0.52564,                 1.1512,                0.61917,                 1.2206,              0.0005644,              0.0005644,              0.0005644
                     46,                0.97446,                0.56191,                 1.0933,                0.84526,                 0.6743,                0.75371,                 0.5229,                  1.144,                0.61424,                 1.2249,              0.0005545,              0.0005545,              0.0005545
                     47,                0.94261,                0.54366,                 1.0823,                0.85236,                0.67007,                 0.7545,                0.52524,                 1.1452,                0.61635,                  1.233,              0.0005446,              0.0005446,              0.0005446
                     48,                0.97395,                0.56015,                 1.0941,                0.85535,                0.66456,                0.75268,                0.52678,                  1.132,                0.61627,                 1.2204,              0.0005347,              0.0005347,              0.0005347
                     49,                0.94043,                0.54092,                  1.083,                0.85848,                0.67317,                 0.7527,                0.52654,                 1.1246,                0.60722,                 1.1952,              0.0005248,              0.0005248,              0.0005248
                     50,                0.94622,                 0.5388,                 1.0799,                0.85682,                0.67675,                0.75684,                0.52933,                 1.1386,                0.60627,                 1.2097,              0.0005149,              0.0005149,              0.0005149
                     51,                 0.9408,                0.53553,                 1.0755,                0.86025,                0.67275,                0.75555,                0.52838,                 1.1386,                 0.6095,                 1.2152,               0.000505,               0.000505,               0.000505
                     52,                0.94181,                0.53928,                 1.0792,                0.85293,                0.67786,                0.75855,                0.53151,                 1.1278,                0.60692,                 1.1993,              0.0004951,              0.0004951,              0.0004951
                     53,                 0.9299,                0.53533,                 1.0773,                0.85347,                0.68194,                  0.758,                0.53119,                 1.1195,                0.60414,                 1.2018,              0.0004852,              0.0004852,              0.0004852
